,name,race,medical,positive,negative,flavors
0,Afpak,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Hungry,Happy,Sleepy",Dizzy,"Earthy,Chemical,Pine"
1,African,sativa,"Depression,Pain,Stress,Lack of Appetite,Nausea,Headache","Euphoric,Happy,Creative,Energetic,Talkative",Dry Mouth,"Spicy/Herbal,Pungent,Earthy"
2,Afternoon Delight,hybrid,"Depression,Insomnia,Pain,Stress,Cramps,Headache","Relaxed,Hungry,Euphoric,Uplifted,Tingly","Dizzy,Dry Mouth,Paranoid","Pepper,Flowery,Pine"
3,Afwreck,hybrid,"Pain,Stress,Headache,Fatigue,Headaches,Muscle Spasms","Relaxed,Happy,Creative,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Pine,Earthy,Flowery"
4,Agent Orange,hybrid,"Depression,Pain,Stress,Nausea,Headache,Headaches","Relaxed,Euphoric,Happy,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Citrus,Orange,Sweet"
5,Agent Tangie,hybrid,"Depression,Stress,Cramps,Fatigue,Eye Pressure","Euphoric,Happy,Creative,Uplifted,Focused","Dry Mouth,Dry Eyes","Skunk,Pepper,Citrus"
6,Alaska,sativa,"Depression,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Euphoric,Happy,Energetic,Focused","Dizzy,Paranoid,Dry Eyes,Anxious","Earthy,Woody,Pungent"
7,Alaska Thunder Grape,hybrid,"Pain,Stress,Eye Pressure","Relaxed,Euphoric,Creative,Tingly,Focused",,"Grape,Pepper,Skunk"
8,Alaskan Ice,sativa,"Depression,Pain,Stress,Fatigue,Headaches","Euphoric,Happy,Creative,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Pine,Minty"
9,Alaskan Thunder Fuck,sativa,"Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue","Relaxed,Euphoric,Happy,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Woody,Pine"
10,Albert Walker,hybrid,"Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms","Relaxed,Hungry,Euphoric,Happy,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Pine,Skunk"
11,Alchemy,hybrid,"Insomnia,Stress,Fatigue,Headaches,Eye Pressure","Relaxed,Hungry,Uplifted,Tingly,Sleepy",,"Cheese,Chemical,Sweet"
12,Alf,hybrid,"Depression,Insomnia,Stress,Muscle Spasms","Relaxed,Euphoric,Happy,Creative,Giggly",Dry Mouth,"Diesel,Pungent,Tropical"
13,Alice in Wonderland,sativa,"Depression,Stress,Lack of Appetite,Fatigue,Muscle Spasms","Relaxed,Euphoric,Happy,Uplifted,Focused","Dizzy,Dry Mouth,Dry Eyes,Anxious","Citrus,Grapefruit,Earthy"
14,Alien Abduction,hybrid,"Depression,Insomnia,Lack of Appetite,Fatigue,Headaches","Relaxed,Happy,Creative,Focused","Dry Mouth,Dry Eyes","Earthy,Nutty,Lemon"
15,Alien Apparition,hybrid,"Depression,Cramps,Fatigue,Headaches,Eye Pressure","Hungry,Euphoric,Creative,Aroused",Dry Mouth,"Berry,Blueberry,Citrus"
16,Alien Asshat,hybrid,"Depression,Pain,Stress,Nausea,Fatigue","Euphoric,Happy,Creative,Energetic,Giggly","Dizzy,Dry Mouth","Citrus,Pungent,Lemon"
17,Alien Bubba,indica,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Sleepy,Focused,Giggly","Dizzy,Dry Mouth","Earthy,Ammonia,Diesel"
18,Alien Dawg,indica,"Insomnia,Pain,Stress,Nausea,Fatigue","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Earthy,Pungent,Spicy/Herbal"
19,Alien Dutchess,sativa,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Happy,Uplifted,Focused",,"Berry,Lemon,Sweet"
20,Alien Hallucination,hybrid,"Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms","Relaxed,Euphoric,Happy,Uplifted",,"Chemical,Diesel,Earthy"
21,Alien Inferno,hybrid,"Depression,Pain,Stress,Lack of Appetite,Fatigue","Euphoric,Happy,Creative,Energetic,Talkative",,"Pine,Diesel,Earthy"
22,Alien Kush,indica,"Depression,Insomnia,Pain,Stress,Headache,Headaches","Relaxed,Euphoric,Uplifted,Sleepy,Giggly","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Woody,Flowery,Earthy"
23,Alien OG,hybrid,"Depression,Insomnia,Pain,Stress,Muscle Spasms","Relaxed,Euphoric,Happy,Uplifted,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Lemon,Flowery,Earthy"
24,Alien Reunion,hybrid,"Pain,Lack of Appetite,Headaches,Inflammation,Muscle Spasms","Relaxed,Euphoric,Happy,Creative,Uplifted",,"Skunk,Diesel,Pungent"
25,Alien Rift,indica,"Depression,Insomnia,Pain,Stress,Headaches","Relaxed,Hungry,Euphoric,Happy,Creative",Dry Mouth,"Earthy,Chemical,Citrus"
26,Alien Rock Candy,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Sweet,Earthy,Citrus"
27,Alien Sour Apple,hybrid,"Depression,Stress,Lack of Appetite,Muscle Spasms","Relaxed,Euphoric,Happy,Creative,Uplifted",,"Apple,Orange,Ammonia"
28,Alien Stardawg,sativa,"Depression,Stress,Lack of Appetite","Euphoric,Happy,Creative,Uplifted",Dry Mouth,"Earthy,Pungent,Rose"
29,Alien Technology,indica,"Depression,Pain,Stress,Headaches","Relaxed,Happy,Uplifted,Giggly",Dry Mouth,"Spicy/Herbal,Chemical,Woody"
30,Aliens On Moonshine,indica,"Depression,Stress,Headaches,Inflammation","Relaxed,Happy,Tingly,Focused",,"Berry,Butter,Citrus"
31,Allen Wrench,sativa,"Depression,Pain,Stress,Lack of Appetite,Nausea","Euphoric,Happy,Creative,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Berry,Tropical,Mango"
